Name,BirthDate,CurrentDate,CurrentAge,Gender,Address,Contact_URL,Url,Phone,Party,DateInOffice,EndOfTerm,YearsInOffice,AgeAtTakingOfficeYear,StateAbb,State,District,OfficeAddress,Position,YearNextElection,BelieveClimateChange,Quote,QuoteSource,QuoteURL
Charles W. Boustany Jr.,21-Feb-56,15-Dec-16,60,M,1431 Longworth HOB; Washington DC 20515-1803,https://boustanyforms.house.gov/contact-me/,http://boustany.house.gov,202-225-2031,Republican,4-Jan-05,3-Jan-17,11,48,LA,Louisiana,4,1431 Longworth House Office Building,rep,2018,No,,,
Charles W. Dent,24-May-60,15-Dec-16,56,M,2211 Rayburn HOB; Washington DC 20515-3815,https://dent.house.gov/?p=ContactForm,https://dent.house.gov,202-225-6411,Republican,4-Jan-05,3-Jan-17,11,44,PA,Pennsylvania,16,2211 Rayburn House Office Building,rep,2018,No,"ñI am concerned that world leaders and scientists are gathering in Copenhagen this week to potentially develop global climate treaties at a time when the international community is questioning the legitimacy of leading climate scientists. Unfortunately, the revelation of these deceitful emails has tarnished the credibility of significant scientific research.î","Dent Website, 12//09",http://dent.house.gov/index.cfm?p=PressReleases&ContentRecord_id=9e887d43-b7f4-420d-bff0-827da4734d7f
Chellie Pingree,2-Apr-55,15-Dec-16,61,F,2162 Rayburn HOB; Washington DC 20515-1901,https://pingree.house.gov/email-me,https://pingree.house.gov,202-225-6116,Democratic,6-Jan-09,3-Jan-17,7,53,ME,Maine,2,2162 Rayburn House Office Building,rep,2018,Yes,,,
Cheri Bustos,17-Oct-61,15-Dec-16,55,F,1009 Longworth HOB; Washington DC 20515-1317,http://bustos.house.gov/contact,http://bustos.house.gov,202-225-5905,Democratic,3-Jan-13,3-Jan-17,3,51,IL,Illinois,18,1009 Longworth House Office Building,rep,2018,Yes,,,
Chris Collins,20-May-50,15-Dec-16,66,M,1117 Longworth HOB; Washington DC 20515-3227,https://chriscollins.house.gov/contact/email-me,http://chriscollins.house.gov,202-225-5265,Republican,3-Jan-13,3-Jan-17,3,62,NY,New York,28,1117 Longworth House Office Building,rep,2018,No,,,
Chris Stewart,15-Jul-60,15-Dec-16,56,M,323 Cannon HOB; Washington DC 20515-4402,https://stewart.house.gov/contact/email-me,http://stewart.house.gov,202-225-9730,Republican,3-Jan-13,3-Jan-17,3,52,UT,Utah,3,323 Cannon House Office Building,rep,2018,No,The science regarding climate change is anything but settled.,"St. Louis Tribune, 4/13/13",http://www.sltrib.com/sltrib/opinion/56130738-82/climate-global-stewart-regarding.html.csp
Chris Van Hollen,10-Jan-59,15-Dec-16,57,M,1707 Longworth HOB; Washington DC 20515-2008,http://vanhollen.house.gov/contact/,https://vanhollen.house.gov,202-225-5341,Democratic,7-Jan-03,3-Jan-17,13,43,MD,Maryland,9,1707 Longworth House Office Building,rep,2018,Yes,,,
Christopher A. Coons,9-Sep-63,15-Dec-16,53,M,127A Russell Senate Office Building Washington DC 20510,http://www.coons.senate.gov/contact/,https://www.coons.senate.gov,202-224-5042,Democratic,15-Nov-10,3-Jan-21,6,47,DE,Delaware,,127a Russell Senate Office Building,sen,2020,Yes,,,
Christopher H. Smith,4-Mar-53,15-Dec-16,63,M,2373 Rayburn HOB; Washington DC 20515-3004,https://chrissmith.house.gov/contact/write.htm,http://chrissmith.house.gov,202-225-3765,Republican,5-Jan-81,3-Jan-17,35,27,NJ,New Jersey,5,2373 Rayburn House Office Building,rep,2018,Yes,"""Climate change is a global challenge that must be addressed with a global solution""","Smith Website, 8/4/2007",http://chrissmith.house.gov/news/documentsingle.aspx?DocumentID=70883
Christopher Murphy,3-Aug-73,15-Dec-16,43,M,136 Hart Senate Office Building Washington DC 20510,http://www.murphy.senate.gov/contact,http://www.murphy.senate.gov,202-224-4041,Democratic,4-Jan-07,3-Jan-19,9,33,CT,Connecticut,,136 Hart Senate Office Building,sen,2018,Yes,,,
Christopher P. Gibson,13-May-64,15-Dec-16,52,M,1708 Longworth HOB; Washington DC 20515-3219,http://gibson.house.gov/contact/,http://gibson.house.gov,202-225-5614,Republican,5-Jan-11,3-Jan-17,5,46,NY,New York,20,1708 Longworth House Office Building,rep,2018,Yes,"ñAll too often, the conversation about appropriate and balanced environmental stewardship gets caught up in partisan politics. Yet, this conversation is key to the preservation of our great country for generations to come, as important as ensuring we have fiscally responsible policies to secure our future.î",,http://thehill.com/policy/energy-environment/254021-11-republicans-seek-to-fight-climate-change
Chuck Grassley,17-Sep-33,15-Dec-16,83,M,135 Hart Senate Office Building Washington DC 20510,http://www.grassley.senate.gov/constituents/questions-and-comments,http://www.grassley.senate.gov,202-224-3744,Republican,14-Jan-75,3-Jan-17,41,41,IA,Iowa,,135 Hart Senate Office Building,sen,2022,No,,,
Claire McCaskill,24-Jul-53,15-Dec-16,63,F,730 Hart Senate Office Building Washington DC 20510,http://www.mccaskill.senate.gov/?p=contact,https://www.mccaskill.senate.gov,202-224-6154,Democratic,4-Jan-07,3-Jan-19,9,53,MO,Missouri,,730 Hart Senate Office Building,sen,2018,Yes,,,
Colleen Hanabusa,4-May-51,15-Dec-16,65,F,422 Cannon HOB; Washington DC 20515-1101,https://hanabusa.house.gov/contact/email,https://hanabusa.house.gov/,202-225-2726,Democratic,5-Jan-11,3-Jan-17,5,59,HI,Hawaii,2,422 Cannon House Office Building,rep,2018,Yes,,,
Collin C. Peterson,29-Jun-44,15-Dec-16,72,M,2204 Rayburn HOB; Washington DC 20515-2307,https://collinpeterson.house.gov/contact-me/email-me,http://collinpeterson.house.gov,202-225-2165,Democratic,3-Jan-91,3-Jan-17,25,46,MN,Minnesota,8,2204 Rayburn House Office Building,rep,2018,No,"""Weêve just had the biggest floods and coldest winters weêve ever had. Theyêre saying to us [that climate change is] going to be a big problem because itês going to be warmer than it usually is; my farmers are going to say thatês a good thing since theyêll be able to grow more corn.""","Wall Street Journal, 6/17/2009",http://www.wsj.com/articles/SB124520189754821613
Corrine Brown,11-Nov-46,15-Dec-16,70,F,2111 Rayburn HOB; Washington DC 20515-0905,https://forms.house.gov/corrinebrown/webforms/contact-me.shtml,https://corrinebrown.house.gov,202-225-0123,Democratic,5-Jan-93,3-Jan-17,23,46,FL,Florida,6,2111 Rayburn House Office Building,rep,2018,Yes,,,
Cory A. Booker,27-Apr-69,15-Dec-16,47,M,359 Dirksen Senate Office Building Washington DC 20510,http://www.booker.senate.gov/?p=contact,http://www.booker.senate.gov,202-224-3224,Democratic,31-Oct-13,3-Jan-21,3,44,NJ,New Jersey,,359 Dirksen Senate Office Building,sen,2020,Yes,,,
Cory Gardner,22-Aug-74,15-Dec-16,42,M,354 Russell Senate Office Building Washington DC 20510,https://gardner.house.gov/contact-me,https://www.gardner.senate.gov,202-224-5941,Republican,5-Jan-11,3-Jan-21,5,36,CO,Colorado,,354 Russell Senate Office Building,sen,2020,No,"During the lightning round, yes-or-no portion of The Denver Post debate between Gardner and Udall, the Republican was asked 'do you believe humans are contributing significantly to climate change?' 'Well, I've said all along climate is changing,' Gardner began, earning reprimands from the moderators to answer in one word. 'This is an important issue and I don't think you can say yes or no,' Gardner fired back, earning boos from the crowd and another reprimand. 'I believe climate is changing, but I disagree to the extent that's been in the news that man is changing ‹ ' he started again, earning a third reprimand and a reminder that he would have time later to explain his answer if he wanted.","MSNBC, 10/6/14",http://www.msnbc.com/msnbc/gop-senate-candidate-wont-answer-climate-change
Cresent Hardy,23-Jun-57,15-Dec-16,59,M,430 Cannon HOB; Washington DC 20515-2804,,https://hardy.house.gov,202-225-9894,Republican,6-Jan-15,3-Jan-17,1,57,NV,Nevada,5,430 Cannon House Office Building,rep,2018,No,,,
Curt Clawson,28-Sep-59,15-Dec-16,57,M,228 Cannon HOB; Washington DC 20515-0919,,http://clawson.house.gov,202-225-2536,Republican,24-Jun-14,3-Jan-17,2,54,FL,Florida,20,228 Cannon House Office Building,rep,2018,No,,,
Cynthia M. Lummis,10-Sep-54,15-Dec-16,62,F,2433 Rayburn HOB; Washington DC 20515-5000,http://lummis.house.gov/contact/,http://lummis.house.gov,202-225-2311,Republican,6-Jan-09,3-Jan-17,7,54,WY,Wyoming,1,2433 Rayburn House Office Building,rep,2018,No,ñThere is no disputing that our planet experiences climate change _ it has been cycling between cooling and warming periods long before we were here to experience the effects. I believe the jury is still out on whether mankind can alter global climate trends.î,"Huffington Post, 6/26/14",http://www.huffingtonpost.com/2014/06/26/house-science-committee-c_n_5533992.html
Dan Benishek,20-Apr-52,15-Dec-16,64,M,514 Cannon HOB; Washington DC 20515-2201,https://benishek.house.gov/contact-me/email-me,http://benishek.house.gov,202-225-4735,Republican,5-Jan-11,3-Jan-17,5,58,MI,Michigan,2,514 Cannon House Office Building,rep,2018,No,"'The climate may be changing, but I don't think man is contributing to it,' Benishek said. 'What do you think does it?' Peterson asked. 'Well, I think it's just the natural course of things,' Benishek said. 'There is no scientific evidence that shows any of that.''","ABC News, 10/7/14",http://abc10up.com/benishek-questioned-on-global-warming-climate-change/
Dan Newhouse,10-Jul-55,15-Dec-16,61,M,1641 Longworth HOB; Washington DC 20515-4704,,https://newhouse.house.gov,202-225-5816,Republican,6-Jan-15,3-Jan-17,1,59,WA,Washington,5,1641 Longworth House Office Building,rep,2018,No,,,
Dana Rohrabacher,21-Jun-47,15-Dec-16,69,M,2300 Rayburn HOB; Washington DC 20515-0548,https://rohrabacher.house.gov/contact/email-me,http://rohrabacher.house.gov,202-225-2415,Republican,3-Jan-89,3-Jan-17,27,41,CA,California,49,2300 Rayburn House Office Building,rep,2018,No,"Just so you'll know, global warming is a total fraud and it's being designed because what you've got is you've got liberals who get elected at the local level want state government to do the work and let them make the decisions. Then, at the state level, they want the federal government to do it. And at the federal government, they want to create global government to control all of our lives.","Huffington Post, 8/12/13",http://www.huffingtonpost.com/2013/08/12/dana-rohrabacher-global-warming_n_3743390.html
Daniel Coats,16-May-43,15-Dec-16,73,M,493 Russell Senate Office Building Washington DC 20510,http://www.coats.senate.gov/contact/,http://www.coats.senate.gov,202-224-5623,Republican,5-Jan-81,3-Jan-17,35,37,IN,Indiana,,493 Russell Senate Office Building,sen,2022,No,"Sen. Coats makes the common mistake of conflating climate change and weather. During a discussion on climate change at candidate forum Sen. Coats brought up a recent snowstorm to dismiss the threat of global warming. And after taking a Senate vote to say climate change is not a hoax, Sen. Coats tweeted: ñJust voted to express that climate change is not a hoax. As @varvel pointed out, in Indiana we call it ïMarch.Íî","Evansville Courier & Press, 4/18/10 via WayBack Machine ||| Talking Points Memo, 1/21/15",http://web.archive.org/web/20111202072837/http:/www.courierpress.com/news/2010/apr/18/tea-party-weakness-shown-by-times-poll/?print=1 ||| http://talkingpointsmemo.com/dc/senate-climate-change-hoax
Daniel Lipinski,15-Jul-66,15-Dec-16,50,M,2346 Rayburn HOB; Washington DC 20515-1303,https://lipinskiforms.house.gov/contact-form,http://lipinski.house.gov,202-225-5701,Democratic,4-Jan-05,3-Jan-17,11,38,IL,Illinois,4,2346 Rayburn House Office Building,rep,2018,Yes,,,
Daniel M. Donovan Jr.,6-Nov-56,15-Dec-16,60,M,1725 Longworth HOB; Washington DC 20515-3211,,https://donovan.house.gov,202-225-3371,Republican,12-May-15,3-Jan-17,1,58,NY,New York,12,1725 Longworth House Office Building,rep,2018,No,,,
Daniel Sullivan,13-Nov-64,15-Dec-16,52,M,702 Hart Senate Office Building Washington DC 20510,,http://www.sullivan.senate.gov,202-224-3004,Republican,6-Jan-15,3-Jan-21,1,50,AK,Alaska,,702 Hart Senate Office Building,sen,2020,No,"–With 7 billion humans on earth, there is likely some impact on nature. The last few years clearly show, though, that there is no concrete scientific consensus on the extent to which humans contribute to climate change.”","News Miner, 8/18/14",http://www.newsminer.com/u-s-senate-dan-sullivan/article_6f0a7018-270f-11e4-8656-0017a43b2370.html
Daniel T. Kildee,11-Aug-58,15-Dec-16,58,M,227 Cannon HOB; Washington DC 20515-2205,https://dankildee.house.gov/contact/email-me,http://dankildee.house.gov,202-225-3611,Democratic,3-Jan-13,3-Jan-17,3,54,MI,Michigan,6,227 Cannon House Office Building,rep,2018,Yes,,,
Daniel Webster,27-Apr-49,15-Dec-16,67,M,1039 Longworth HOB; Washington DC 20515-0910,https://webster.house.gov/contact/contactform.htm,http://webster.house.gov,202-225-2176,Republican,5-Jan-11,3-Jan-17,5,61,FL,Florida,11,1039 Longworth House Office Building,rep,2018,No,,,
Danny K. Davis,6-Sep-41,15-Dec-16,75,M,2159 Rayburn HOB; Washington DC 20515-1307,https://davis.house.gov/email-me,http://davis.house.gov,202-225-5006,Democratic,7-Jan-97,3-Jan-17,19,55,IL,Illinois,8,2159 Rayburn House Office Building,rep,2018,Yes,,,
Darin LaHood,5-Jul-68,15-Dec-16,48,M,2464 Rayburn HOB; Washington DC 20515-1318,https://lahood.house.gov/contact/email,https://lahood.house.gov/,202-225-6201,Republican,17-Sep-15,3-Jan-17,1,47,IL,Illinois,19,2464 Rayburn House Office Building,rep,2018,No,,,
Darrell E. Issa,1-Nov-53,15-Dec-16,63,M,2269 Rayburn HOB; Washington DC 20515-0549,http://issa.house.gov/contact/contact-me,http://issa.house.gov,202-225-3906,Republican,3-Jan-01,3-Jan-17,15,47,CA,California,50,2269 Rayburn House Office Building,rep,2018,No,ñOne of the difficulties in examining the issue of the climate change and greenhouse gases is that there is a wide range of scientific opinion on this issue and the science community does not agree to the extent of the problem or the critical threshold of when this problem is truly catastrophic.î,"Project Vote Smart Issue Position, 1/1/12; Run on Sun, 8/14/13; National Review, 4/14/15",
Dave Brat,27-Jul-64,15-Dec-16,52,M,330 Cannon HOB; Washington DC 20515-4607,http://brat.house.gov/contact,http://brat.house.gov,202-225-2815,Republican,12-Nov-14,3-Jan-17,2,50,VA,Virginia,8,330 Cannon House Office Building,rep,2018,No,"If you let Americans do their thing, there is no scarcity, right? They said we're going to run out of food 200 years ago, that we're goin' to have an ice age. Now we're heating up. Of course we care for the environment, but we're not mad people. Over time, rich countries solve their problems. We get it right. It's not all perfect, but we get it right.","Mother Jones, 6/11/14",http://www.motherjones.com/politics/2014/06/david-brat-eric-cantor-common-good-climate-change
David A. Trott,16-Oct-60,15-Dec-16,56,M,1722 Longworth HOB; Washington DC 20515-2211,,https://trott.house.gov,202-225-8171,Republican,6-Jan-15,3-Jan-17,1,54,MI,Michigan,12,1722 Longworth House Office Building,rep,2018,No,,,
David B. McKinley,28-Mar-47,15-Dec-16,69,M,412 Cannon HOB; Washington DC 20515-4801,https://mckinleyforms.house.gov/email-me,http://mckinley.house.gov,202-225-4172,Republican,5-Jan-11,3-Jan-17,5,63,WV,West Virginia,2,412 Cannon House Office Building,rep,2018,No,"""Now, climate change alarmists contend that man-made CO-2 is the cause of climate change,"" McKinley said on the floor of the House. ""Most people may not realize that 96 percent of all the CO-2 emissions occur naturally, and America's CO-2 emissions' contribution to the global community is actually less than 1 percent ... But even with these facts, decarbonizing America's economy is still a long-term goal of the climate alarmists.""","Lawrence Journal-World, 5/17/14",http://www2.ljworld.com/news/2014/may/27/jenkins-votes-block-pentagon-spending-climate-chan/
David E. Price,17-Aug-40,15-Dec-16,76,M,2108 Rayburn HOB; Washington DC 20515-3304,https://price.house.gov/contact,http://price.house.gov,202-225-1784,Democratic,6-Jan-87,3-Jan-17,29,46,NC,North Carolina,5,2108 Rayburn House Office Building,rep,2018,Yes,,,
David G. Reichert,29-Aug-50,15-Dec-16,66,M,1127 Longworth HOB; Washington DC 20515-4708,https://reichert.house.gov/contact-me,http://reichert.house.gov,202-225-7761,Republican,4-Jan-05,3-Jan-17,11,54,WA,Washington,9,1127 Longworth House Office Building,rep,2018,Yes,,,
David G. Valadao,14-Apr-77,15-Dec-16,39,M,1004 Longworth HOB; Washington DC 20515-0521,http://valadao.house.gov/contact/,http://valadao.house.gov,202-225-4695,Republican,3-Jan-13,3-Jan-17,3,35,CA,California,22,1004 Longworth House Office Building,rep,2018,No,,,
David Loebsack,23-Dec-52,15-Dec-16,63,M,1527 Longworth HOB; Washington DC 20515-1502,https://loebsack.house.gov/forms/writeyourrep/,http://loebsack.house.gov,202-225-6576,Democratic,4-Jan-07,3-Jan-17,9,54,IA,Iowa,3,1527 Longworth House Office Building,rep,2018,Yes,,,
David N. Cicilline,15-Jul-61,15-Dec-16,55,M,2244 Rayburn HOB; Washington DC 20515-3901,https://cicilline.house.gov/contact-me/email-me,http://cicilline.house.gov,202-225-4911,Democratic,5-Jan-11,3-Jan-17,5,49,RI,Rhode Island,2,2244 Rayburn House Office Building,rep,2018,Yes,,,
David P. Joyce,17-Mar-57,15-Dec-16,59,M,1124 Longworth HOB; Washington DC 20515-3514,https://joyce.house.gov/email-me,http://joyce.house.gov,202-225-5731,Republican,3-Jan-13,3-Jan-17,3,55,OH,Ohio,15,1124 Longworth House Office Building,rep,2018,No,,,
David P. Roe,21-Jul-45,15-Dec-16,71,M,407 Cannon HOB; Washington DC 20515-4201,https://roe.house.gov/contact/contactform.htm?zip5=37813&zip4=1659,http://roe.house.gov,202-225-6356,Republican,6-Jan-09,3-Jan-17,7,63,TN,Tennessee,2,407 Cannon House Office Building,rep,2018,No,,,
David Perdue,10-Dec-49,15-Dec-16,67,M,383 Russell Senate Office Building Washington DC 20510,,http://www.perdue.senate.gov,202-224-3521,Republican,6-Jan-15,3-Jan-21,1,65,GA,Georgia,,383 Russell Senate Office Building,sen,2020,No,The scientific community is not in total agreement about whether mankind has been a contributing factor.,"Atlanta Journal-Constitution, 8/8/15",http://www.myajc.com/news/news/state-regional-govt-politics/state-agencys-warning-on-climate-change-spurs-acti/nnFBz/
David Rouzer,16-Feb-72,15-Dec-16,44,M,424 Cannon HOB; Washington DC 20515-3307,,https://rouzer.house.gov,202-225-2731,Republican,6-Jan-15,3-Jan-17,1,42,NC,North Carolina,8,424 Cannon House Office Building,rep,2018,No,"Well, you know, I don't necessarily listen to any one person. And I can't, you know, tick off a whole list of scientists that are pro-sea level rise and a whole list of scientists that aren't ‹ I'm just coming at it from a common sense standpoint. The earth has been warming and cooling since day one. And you know, the effect on sea level change, what do we know about it?","PBS, last accessed 2/20/16",http://www.pbs.org/wgbh/frontline/film/climate-of-doubt/transcript/
